Hour,Data Volume per Hour (GB/hour),Simple Direct Energy Allocation (kWh/h),Simple Overall Mean Energy  Re-Allocation (kWh/h),Square Energy Re-Allocation (kWh/h),Exponential Energy Re-Allocation (kWh/h)
0,22500,4.15,3.64,2.47,1.13
1,15614.78,4.15,2.52,1.19,0.58
2,10833.43,4.15,1.75,0.57,0.36
3,9000,4.15,1.45,0.4,0.31
4,7160.61,4.15,1.16,0.25,0.26
5,7255.2,4.15,1.17,0.26,0.26
6,9000,4.15,1.45,0.4,0.31
7,15728.03,4.15,2.54,1.21,0.59
8,21326.34,4.15,3.45,2.22,1.01
9,20885.93,4.15,3.38,2.13,0.97
10,21331.39,4.15,3.45,2.22,1.01
11,21303.54,4.15,3.44,2.22,1
12,21688.11,4.15,3.51,2.3,1.04
13,23621.24,4.15,3.82,2.73,1.26
14,25494.87,4.15,4.12,3.18,1.51
15,26165.72,4.15,4.23,3.35,1.61
16,30139.11,4.15,4.87,4.44,2.36
17,36000,4.15,5.82,6.33,4.17
18,38590.91,4.15,6.24,7.28,5.36
19,44305.85,4.15,7.16,9.6,9.31
20,52959.15,4.15,8.56,13.71,21.52
21,56250,4.15,9.09,15.47,29.6
22,45980.54,4.15,7.43,10.33,10.95
23,33063.11,4.15,5.34,5.34,3.14